0.00000000, 1.07283966
0.40000000, 1.07283966
0.80000000, 1.07283966
1.20000000, 1.07283966
1.60000000, 1.07283966
2.00000000, 1.07283966
2.40000000, 1.07283966
2.80000000, 1.07283966
3.20000000, 1.07090631
3.60000000, 1.02150309
4.00000000, 0.92139659
4.40000000, 0.78244709
4.80000000, 0.62390680
5.20000000, 0.46701486
5.60000000, 0.33010421
6.00000000, 0.22384062
6.40000000, 0.14943019
6.80000000, 0.10128567
7.20000000, 0.07271709
7.60000000, 0.05901358
8.00000000, 0.05847301
8.40000000, 0.05847301
8.80000000, 0.06582029
9.20000000, 0.13774539
9.60000000, 0.26019683
10.00000000, 0.38944862
10.40000000, 0.48098365
10.80000000, 0.48863463
11.20000000, 0.48863463
11.60000000, 0.47964220
12.00000000, 0.40035764
12.40000000, 0.29194599
12.80000000, 0.19155998
13.20000000, 0.11988290
13.60000000, 0.07899688
14.00000000, 0.05994781
14.40000000, 0.05170885
14.80000000, 0.04663966
15.20000000, 0.04156399
15.60000000, 0.03620239
16.00000000, 0.03120770
16.40000000, 0.02703686
16.80000000, 0.02372202
17.20000000, 0.02106873
17.60000000, 0.01887071
18.00000000, 0.01699531
18.40000000, 0.01537354
18.80000000, 0.01396586
19.20000000, 0.01274107
19.60000000, 0.01167067
20.00000000, 0.01072972
20.40000000, 0.00989781
20.80000000, 0.00915859
21.20000000, 0.00849884
21.60000000, 0.00790766
22.00000000, 0.00737590
22.40000000, 0.00689589
22.80000000, 0.00646114
23.20000000, 0.00606615
23.60000000, 0.00570622
24.00000000, 0.00537734
24.40000000, 0.00507604
24.80000000, 0.00479932
25.20000000, 0.00454460
25.60000000, 0.00430960
26.00000000, 0.00409234
26.40000000, 0.00389108
26.80000000, 0.00370429
27.20000000, 0.00353062
27.60000000, 0.00336882
28.00000000, 0.00321789
28.40000000, 0.00307715
28.80000000, 0.00294577
29.20000000, 0.00282139
29.60000000, 0.00270073
30.00000000, 0.00258943
30.40000000, 0.00251265
30.80000000, 0.00246883
31.20000000, 0.00229479
31.60000000, 0.00175595
32.00000000, 0.00152355
32.40000000, 0.00147710
32.80000000, 0.00143275
33.20000000, 0.00139036
33.60000000, 0.00134982
34.00000000, 0.00131103
34.40000000, 0.00127389
34.80000000, 0.00123830
35.20000000, 0.00120418
35.60000000, 0.00117145
36.00000000, 0.00114004
36.40000000, 0.00110988
36.80000000, 0.00108089
37.20000000, 0.00105303
37.60000000, 0.00102623
38.00000000, 0.00100044
38.40000000, 0.00097561
38.80000000, 0.00095169
39.20000000, 0.00092864
39.60000000, 0.00090642
